"Name","agentforce1__External_Id__c","agentforce1__Ignore_Triggers__c","agentforce1__JSON_Type__c","agentforce1__Length__c","agentforce1__Purpose_Description__c","agentforce1__Type__c","agentforce1__Mapped_sObject__r.agentforce1__External_Id__c"
"agentforce1__Summary__c","0a44d91a-306a-4c24-9908-122e4ed16de0","false","String","100000.0","A summary of the process in a few lines used to find the process by users through AI search. So make this contain the items a user would search for to find the process easily","TEXTAREA","867777fa-f471-4e95-9b95-39c9124cfd36"
"agentforce1__Condition__c","f1bc71a1-b26e-4bab-81b5-93d539ff86ac","false","String","255.0","The value of the condition, required for decision.","STRING","d8815459-c71c-4b41-8a73-3b4052dd5c29"
"agentforce1__Process_Id__c","6623fbce-e667-431f-b2a8-f37292b09c25","false","String","255.0","The Id of the parent process. Formatted like 'PROC_xxxx' this field is to match it all up the ""ultimate"" parent so to speak","STRING","d8815459-c71c-4b41-8a73-3b4052dd5c29"
"Name","d06e18a4-a807-412d-96c1-f88bd86308d8","false","String","255.0","The name of the account (not the name of the contact)","STRING","67d769fd-04b5-492e-a52e-cf7851505d07"
"ActivityDate","8f18234d-5ef0-4467-a501-956167fa9b31","false","Date","0.0","The date/time that this task or action takes place","DATE","1e9f3f31-265e-409e-97ba-3d854c5b4492"
"Subject","ada3f756-2e2a-4f46-9cc9-23fe6c8e4554","false","String","255.0","The subject of the task. This is a short text","COMBOBOX","1e9f3f31-265e-409e-97ba-3d854c5b4492"
"agentforce1__Type__c","9a776bc6-7aa0-4adf-a239-585d34531559","false","String","255.0","Valid values are ""Process"", ""Decision"" or ""End"" depending on the type of process","PICKLIST","02d9a684-2c2b-48ad-b407-0c18b50e01bb"
"agentforce1__Action__c","29624714-904f-4913-80ea-73659c984319","false","String","255.0","The action value and or action description, whatever is availible / makes sense. It will usually be the name.","STRING","02d9a684-2c2b-48ad-b407-0c18b50e01bb"
"agentforce1__Description__c","9ec5650a-8d55-462e-ba82-c0ec9938d4d8","false","String","255.0","A short description of the process","TEXTAREA","867777fa-f471-4e95-9b95-39c9124cfd36"
"agentforce1__Notes__c","d0992dea-7c1b-4924-835a-ae37df4b5251","false","String","100000.0","A list of notes where you can put feedback or any errors. It could be that the flow chart is invalid, missing items, infinity loops etc. If you run into these issues put them in here.","TEXTAREA","867777fa-f471-4e95-9b95-39c9124cfd36"
"agentforce1__Start_Step_Id__c","631b3151-dfbd-4f55-a8e2-99324fa6f346","false","String","255.0","The (external) Id that is generated for the start step. This creates the link based on the external id and is not an id in the technical sense.","STRING","867777fa-f471-4e95-9b95-39c9124cfd36"
"agentforce1__Process_Id__c","54726c6a-6db3-4ce0-a14a-c4544beb95e2","false","String","255.0","The Unique Process Id of the parent formattted like 'PROC_xxxx' or if there is a clear process Id in the flow use that one. Match it to the parent value.","STRING","02d9a684-2c2b-48ad-b407-0c18b50e01bb"
"agentforce1__Actor_Role__c","9d8d6b5e-2fb3-45f2-9d6d-0c5a95f05aba","false","String","255.0","The role of the actor if you can find it, Human, Agent, System etc. Be consistent and don't overcomplicate it","STRING","02d9a684-2c2b-48ad-b407-0c18b50e01bb"
"agentforce1__Version__c","21e067ac-cd0c-4f6e-a3a5-8cf467e924ff","false","String","255.0","{If you can find a version, apply the version else default the version to 1.0}","STRING","867777fa-f471-4e95-9b95-39c9124cfd36"
"agentforce1__Id__c","a7502676-8358-4947-88ac-a503f2284811","false","String","255.0","The unique id of this step formatted like 'PS_xxxx' use padding with zeroes for the number that is represented by the 4x","STRING","02d9a684-2c2b-48ad-b407-0c18b50e01bb"
"agentforce1__Actor__c","3a8c6b7e-b944-4a5a-b889-931b93f24bb6","false","String","255.0","If you can find any logical actor, the actor value goes in here","STRING","02d9a684-2c2b-48ad-b407-0c18b50e01bb"
"agentforce1__Next_Step_Id__c","d39762cf-56b4-477f-b6c9-b4019fd5d687","false","String","255.0","Field containing the Id of the next action, only applies when the type field is ""Process"". There is no next step when the type is ""End"" or ""Decision""","STRING","02d9a684-2c2b-48ad-b407-0c18b50e01bb"
"agentforce1__Next_Step_Id__c","e23b4d74-ca19-4236-8ff7-503c7aef80fa","false","String","255.0","the Id of the next step, required for decision. This is formatted like PS_xxxx","STRING","d8815459-c71c-4b41-8a73-3b4052dd5c29"
"agentforce1__Step_Id__c","d61b3aed-7713-4225-bf33-b62858280e8c","false","String","255.0","The name of the parent step formatted like ""SP_xxxx"" to link this outcome to a step","STRING","d8815459-c71c-4b41-8a73-3b4052dd5c29"
"FirstName","cd890600-e1f8-4bd3-ad6c-60e4d4d57859","false","String","40.0","The first name of the contact","STRING","3ba9fac1-fb7e-492c-b4df-22f63bb566fc"
"LastName","22fd5719-9a5f-45b8-a5cf-fddf4a52451c","false","String","80.0","The last name of the contact","STRING","3ba9fac1-fb7e-492c-b4df-22f63bb566fc"
"Type","338f38d4-72c2-49b3-8d4e-e65ead3a2efa","false","String","255.0","Call, Meeting or Other are the only valid values. If you have any doubts, always make this call","PICKLIST","1e9f3f31-265e-409e-97ba-3d854c5b4492"
"agentforce1__Id__c","11701ec0-4c72-4008-8795-379baf01f175","false","String","255.0","The Unique Process Id. If on the process you can find a clear process Id populate that here. If you cannot find any specific process Id format the process like 'PROC_xxxx' and for each process up the number. Pad the value with zeroes on the left.","STRING","867777fa-f471-4e95-9b95-39c9124cfd36"
"agentforce1__AI_Model__c","84c321db-5d0b-473b-9c74-ea858842f1a1","false","String","255.0","The AI Model Used to extract the process. This is a system field and will be specified. Ignore this for the process extraction as it is not relevant.","STRING","867777fa-f471-4e95-9b95-39c9124cfd36"
"ShippingStreet","5c99ea13-acd7-429f-a306-fa761741b632","false","String","255.0","The street of the account address","TEXTAREA","67d769fd-04b5-492e-a52e-cf7851505d07"
"ShippingCity","44304a50-d975-4dcd-840f-b7e2ca843319","false","String","40.0","The city of the account address","STRING","67d769fd-04b5-492e-a52e-cf7851505d07"
"Description","ebb48b79-f59f-41aa-be77-a0e39e6a916f","false","String","32000.0","A short description of the contact. Tell in a few lines something interesting about this person and tell a little about them","TEXTAREA","3ba9fac1-fb7e-492c-b4df-22f63bb566fc"
"ShippingCountry","a846a6f8-ed28-43a3-9974-9a6ac6514541","false","String","80.0","The country part of the shipping address","STRING","67d769fd-04b5-492e-a52e-cf7851505d07"
"AccountNumber","27b5a082-63ca-4417-bba9-ba3999d69a1c","false","String","40.0","An account number. You can make this up. Don't make it too complex and make sure if you have multiple accounts they make sense.","STRING","67d769fd-04b5-492e-a52e-cf7851505d07"
"ShippingState","2fcf7da3-75a0-4e13-9f7d-9e656600715d","false","String","80.0","The state of the account address","STRING","67d769fd-04b5-492e-a52e-cf7851505d07"
"ShippingPostalCode","d765ccae-50d6-4faa-b76d-925bd0479e8c","false","String","20.0","The post code of the account address","STRING","67d769fd-04b5-492e-a52e-cf7851505d07"
"Birthdate","88950dd6-12dc-4a3d-8c55-cc7e4dad3f7e","false","Date","0.0","The date this person was born (make sure this is between 18 and 50 years old)","DATE","3ba9fac1-fb7e-492c-b4df-22f63bb566fc"
"NumberOfEmployees","eea68ae3-d32a-4265-9e1c-1aa22f447261","false","Number","0.0","The number of employees that work for this account","INTEGER","67d769fd-04b5-492e-a52e-cf7851505d07"
"Email","7b979869-a983-4748-a5b3-77bf47320ffe","false","String","80.0","Email address, create something random, but make sure that it ends in .example","EMAIL","3ba9fac1-fb7e-492c-b4df-22f63bb566fc"
"Description","f0ae23f7-6196-4c09-8636-eab63ddc0715","false","String","32000.0","Give a few lines of what should done in the task","TEXTAREA","1e9f3f31-265e-409e-97ba-3d854c5b4492"
"Name","e4112a27-87f7-4d9b-9b6c-79029f6cea82","false","String","80.0","The name of the process. If there is a clear title use this tile. If not make up a title based on the file name and or what makes sense from the entire context of the process.","STRING","867777fa-f471-4e95-9b95-39c9124cfd36"
"agentforce1__Start_Step__c","35d8c4f1-c528-48c0-a2d4-6f96061f564b","false","REFERENCE","18.0","This field is a reference field that is the lookup to first step in the analysed process. This is where the process starts.","REFERENCE","867777fa-f471-4e95-9b95-39c9124cfd36"
"ContactId","442a5674-1db7-4d8b-8d00-d4b61140398e","false","REFERENCE","18.0","Relate this field to the appropriate contact record.","REFERENCE","72c7f503-bcab-41a0-bed6-ccb5c4dc3eb6"
"Description","f5d53bad-b5ee-43ea-95c5-828cbd1c8ba2","false","String","32000.0","A short description of the case. You can make this a few lines or even a single line that fits in with the test data theme.","TEXTAREA","72c7f503-bcab-41a0-bed6-ccb5c4dc3eb6"
"Subject","4b5e096f-daa2-4bc5-b4f6-26e12fea92f6","false","String","255.0","A subject in a few words that fits the theme and matches the description field","STRING","72c7f503-bcab-41a0-bed6-ccb5c4dc3eb6"
"ContactId","924b1e03-815d-4e52-b492-ead7f2aa764b","false","REFERENCE","18.0","Relate this field to the appropriate contact record.","REFERENCE","1e8d3ecb-4e37-4885-bb02-dd50d2c97be8"
"Description","2aea5162-3933-4832-9f1c-ca552604f36d","false","String","32000.0","A short description of the case. You can make this a few lines or even a single line that fits in with the test data theme.","TEXTAREA","1e8d3ecb-4e37-4885-bb02-dd50d2c97be8"
"Subject","ec8e87c2-3ed0-4ea4-9564-25811a153088","false","String","255.0","A subject in a few words that fits the theme and matches the description field","STRING","1e8d3ecb-4e37-4885-bb02-dd50d2c97be8"
"NumberOfEmployees","e7316a7c-9794-418d-a3cc-4abf73a9fb1e","false","Number","0.0","The number of employees that work for this child account","INTEGER","aa742a62-17e6-4909-a0d2-0e3ba9d1d4eb"
"Birthdate","50595468-00d0-4d99-b834-64abed4d2e1b","false","Date","0.0","","DATE","0c5ac330-d44e-41aa-a93d-a8ebe6cb070f"
